Genus,IDs_x,IDs_y
Beggiatoa,"['401661968', '401661967', '401661966', '401661965', '401661964', '401661963', '371805740', '308071836', '308071835', '308071834', '308071833', '308071832', '308071831', '308071830', '308071829', '308071828', '308071827', '308071826', '308071825', '308071824']","['401661968', '401661967', '401661966', '401661965', '401661964', '401661963', '371805740', '308071836', '308071835', '308071834', '308071833', '308071832', '308071831', '308071830', '308071829', '308071828', '308071827', '308071826', '308071825', '308071824']"
Beijerinckia,"['1985645586', '984880398', '984880338', '984880314', '363806114', '47457724', '47457723', '47457722', '47457721', '47457720', '173853']","['1985645586', '984880398', '984880338', '984880314', '363806114', '47457724', '47457723', '47457722', '47457721', '47457720', '173853']"
Bellilinea,"['444736685', '444736682', '444736678', '444736637', '444736516', '444736499', '444736477', '444736020', '444736014', '444736009', '444735365', '444735363', '444735358', '444735325', '444735308', '444735307', '444735303', '444735298', '187936500']","['444736685', '444736682', '444736678', '444736637', '444736516', '444736499', '444736477', '444736020', '444736014', '444736009', '444735365', '444735363', '444735358', '444735325', '444735308', '444735307', '444735303', '444735298', '187936500']"
Bergeyella,"['998615913', '952977445', '952977443', '952977442', '162849049', '162848982']","['998615913', '952977445', '952977443', '952977442', '162849049', '162848982']"
beta proteobacterium,"['2163805158', '2163805109', '2163805093', '2163805064', '2163805062', '2163805049', '2163804957', '2163804895', '2163804839', '2163804833', '2163804830', '2163804816', '2163804807', '2163804800', '2163804799', '2163804792', '2163804786', '2163804712', '2163804664', '2163804639']","['2163805158', '2163805109', '2163805093', '2163805064', '2163805062', '2163805049', '2163804957', '2163804895', '2163804839', '2163804833', '2163804830', '2163804816', '2163804807', '2163804800', '2163804799', '2163804792', '2163804786', '2163804712', '2163804664', '2163804639']"
beta proteobacterium LX29,[],[]
Bifidobacterium,"['2318643332', '2318642917', '2318642267', '2318638357', '2318626650', '2318620147', '2318612812', '2318612206', '2318612167', '2318611248', '2318611171', '2318611037', '2278607901', '1962354116', '1269612921', '1269612783', '1269612743', '1269612712', '1269612674', '1269612673']","['2318643332', '2318642917', '2318642267', '2318638357', '2318626650', '2318620147', '2318612812', '2318612206', '2318612167', '2318611248', '2318611171', '2318611037', '2278607901', '1962354116', '1269612921', '1269612783', '1269612743', '1269612712', '1269612674', '1269612673']"
Bilophila,"['2318645275', '2318640275', '2318640216', '2318640204', '2318638485', '2318635208', '2318626117', '2318615239', '2318613166', '2318612668', '2318612461', '2318611810', '2318611651', '2318611279', '2318611103', '2278607902', '1419210346', '1419210345', '1419210344', '1419210343']","['2318645275', '2318640275', '2318640216', '2318640204', '2318638485', '2318635208', '2318626117', '2318615239', '2318613166', '2318612668', '2318612461', '2318611810', '2318611651', '2318611279', '2318611103', '2278607902', '1419210346', '1419210345', '1419210344', '1419210343']"
Blastocatella,"['2156558456', '2156558445', '1985648441', '1985647162', '1985643068', '1269619795', '1079706529', '1079706426', '1079706421', '1079706312']","['2156558456', '2156558445', '1985648441', '1985647162', '1985643068', '1269619795', '1079706529', '1079706426', '1079706421', '1079706312']"
Blastococcus,"['1985645446', '1985643260', '1347817436', '1215531062', '1041793009', '1104187017', '1088721527', '1088721526', '1088721525', '1088721524', '1088721523', '1088721522', '1041793010', '984880386', '984880323', '984880296', '984880255', '984880244', '954166395', '954166394']","['1985645446', '1985643260', '1347817436', '1215531062', '1041793009', '1104187017', '1088721527', '1088721526', '1088721525', '1088721524', '1088721523', '1088721522', '1041793010', '984880386', '984880323', '984880296', '984880255', '984880244', '954166395', '954166394']"
Blastomonas,"['1691059549', '1614056568', '1417735322', '1139278218', '1139274063', '469831816', '469831815', '469831803', '469831802', '469831801', '469831800', '469831799', '469831798', '469831797', '469831796', '224027489', '224027488', '239703781', '187293531', '2222662']","['1691059549', '1614056568', '1417735322', '1139278218', '1139274063', '469831816', '469831815', '469831803', '469831802', '469831801', '469831800', '469831799', '469831798', '469831797', '469831796', '224027489', '224027488', '239703781', '187293531', '2222662']"
Blautia,"['2318645792', '2318645764', '2318645618', '2318645603', '2318645589', '2318645560', '2318645545', '2318644258', '2318644182', '2318643878', '2318643835', '2318643488', '2318643274', '2318643260', '2318643132', '2318642931', '2318642716', '2318642509', '2318642449', '2318642326']","['2318645792', '2318645764', '2318645618', '2318645603', '2318645589', '2318645560', '2318645545', '2318644258', '2318644182', '2318643878', '2318643835', '2318643488', '2318643274', '2318643260', '2318643132', '2318642931', '2318642716', '2318642509', '2318642449', '2318642326']"
Bordetella,"['1827494964', '1363983607', '1200880085', '1200878647', '1135565197', '1135565196', '1135565195', '1135565194', '1052253197', '1034538810', '1033472755', '1008904255', '880796880', '542132059', '163258032', '754495877', '683402535', '683402533', '683402520', '664616032']","['1827494964', '1363983607', '1200880085', '1200878647', '1135565197', '1135565196', '1135565195', '1135565194', '1052253197', '1034538810', '1033472755', '1008904255', '880796880', '542132059', '163258032', '754495877', '683402535', '683402533', '683402520', '664616032']"
Bosea,"['2265463497', '571026346', '1985644548', '1985644235', '1985644090', '1985643281', '1962357156', '1674370595', '1417735329', '1417735328', '1417735327', '1417735326', '1417735325', '1417735324', '1417735323', '1248817305', '1001184202', '1041792215', '1033473983', '954166369']","['2265463497', '571026346', '1985644548', '1985644235', '1985644090', '1985643281', '1962357156', '1674370595', '1417735329', '1417735328', '1417735327', '1417735326', '1417735325', '1417735324', '1417735323', '1248817305', '1001184202', '1041792215', '1033473983', '954166369']"
Brachybacterium,"['2265463493', '1962359363', '1962354592', '1674370651', '1605110036', '1465391646', '1417735331', '1417735330', '1336499538', '1279335676', '558476457', '1100787592', '1041788017', '1041788016', '1041788015', '1041788014', '953940236', '953940153', '998612131', '984880459']","['2265463493', '1962359363', '1962354592', '1674370651', '1605110036', '1465391646', '1417735331', '1417735330', '1336499538', '1279335676', '558476457', '1100787592', '1041788017', '1041788016', '1041788015', '1041788014', '953940236', '953940153', '998612131', '984880459']"
Brachymonas,"['1962359539', '1417735332', '1041792261', '1033472210', '914241906', '914241905', '914241902', '914241901', '192805244', '110681427', '110681417', '39103370', '21425617']","['1962359539', '1417735332', '1041792261', '1033472210', '914241906', '914241905', '914241902', '914241901', '192805244', '110681427', '110681417', '39103370', '21425617']"
Bradyrhizobiaceae bacterium,[],[]
Bradyrhizobium,"['2419393956', '2419393955', '2419393954', '2419393953', '2419393952', '2419393951', '2419393950', '2419393949', '2419393948', '2419393947', '2295461720', '2295461718', '2295461716', '2295461714', '2295461712', '2295461710', '2265463502', '2130544216', '2130544215', '2130544214']","['2419393956', '2419393955', '2419393954', '2419393953', '2419393952', '2419393951', '2419393950', '2419393949', '2419393948', '2419393947', '2295461720', '2295461718', '2295461716', '2295461714', '2295461712', '2295461710', '2265463502', '2130544216', '2130544215', '2130544214']"
Brevibacillus,"['2278607905', '2265463592', '1985647510', '1985647398', '1985645346', '1877246608', '1691059658', '1674370626', '1614056631', '1215530930', '1201274187', '1168717733', '1152064077', '1152064068', '1131344882', '1131344881', '1131344880', '1131344879', '1131344878', '1131344877']","['2278607905', '2265463592', '1985647510', '1985647398', '1985645346', '1877246608', '1691059658', '1674370626', '1614056631', '1215530930', '1201274187', '1168717733', '1152064077', '1152064068', '1131344882', '1131344881', '1131344880', '1131344879', '1131344878', '1131344877']"
Brevibacterium,"['2265463564', '1962354483', '1962354007', '1810186802', '1674370652', '1417970470', '1219551025', '1190331934', '1172384968', '1168717730', '1139290474', '1139290435', '1139289176', '1139288715', '1139284914', '1139282862', '1139282855', '1139282844', '1139282840', '1139275164']","['2265463564', '1962354483', '1962354007', '1810186802', '1674370652', '1417970470', '1219551025', '1190331934', '1172384968', '1168717730', '1139290474', '1139290435', '1139289176', '1139288715', '1139284914', '1139282862', '1139282855', '1139282844', '1139282840', '1139275164']"
Brevundimonas,"['590121445', '1985647026', '1985646351', '1985646053', '1985645854', '1985645439', '1985644762', '1985644458', '1985644232', '1985644154', '1985643898', '1985643848', '1985643383', '1985643373', '1985643066', '1985643013', '1985642994', '1962359092', '1962355734', '1962354004']","['590121445', '1985647026', '1985646351', '1985646053', '1985645854', '1985645439', '1985644762', '1985644458', '1985644232', '1985644154', '1985643898', '1985643848', '1985643383', '1985643373', '1985643066', '1985643013', '1985642994', '1962359092', '1962355734', '1962354004']"
Brooklawnia,"['1206271154', '1206270475', '1206270145', '1206256083', '1206255738', '319992806']","['1206271154', '1206270475', '1206270145', '1206256083', '1206255738', '319992806']"
Brumimicrobium,"['1020158645', '984532140']","['1020158645', '984532140']"
Bryobacter,"['1985647890', '1033474468', '158148186', '158148185', '89253772']","['1985647890', '1033474468', '158148186', '158148185', '89253772']"
BSV13,[],[]
BSV43,[],[]
BTEX-degrading bacterium enrichment culture,[],[]
Buchnera,"['1962356659', '1045955573', '1045955568', '1045955566', '1045955562', '1045955560', '1045955557', '1045955554', '1045955551', '1045955544', '1045955542', '1045955541', '1045955534', '1045955532', '1045955528', '1045955525', '347300781', '20067634', '12657284', '12657283']","['1962356659', '1045955573', '1045955568', '1045955566', '1045955562', '1045955560', '1045955557', '1045955554', '1045955551', '1045955544', '1045955542', '1045955541', '1045955534', '1045955532', '1045955528', '1045955525', '347300781', '20067634', '12657284', '12657283']"
Bulleidia,"['2318612070', '1328373273', '1328373068', '1328372999', '1328372966', '1328372367', '1328372305', '1328372078', '1328372025', '1328371988', '1328371942', '1328371755', '1328371587', '1328371526', '1328371383', '1328371371', '1328371182', '1328370916', '1328370910', '1328370543']","['2318612070', '1328373273', '1328373068', '1328372999', '1328372966', '1328372367', '1328372305', '1328372078', '1328372025', '1328371988', '1328371942', '1328371755', '1328371587', '1328371526', '1328371383', '1328371371', '1328371182', '1328370916', '1328370910', '1328370543']"
Burkholderia,"['2278607906', '1985645373', '1985645196', '1985644209', '1985643501', '1962359532', '1962356185', '1962355859', '1913238080', '1898669151', '1898669150', '1898669147', '1839230872', '1839230871', '1839230870', '1839230869', '1839230867', '1839230866', '1839230862', '1839230848']","['2278607906', '1985645373', '1985645196', '1985644209', '1985643501', '1962359532', '1962356185', '1962355859', '1913238080', '1898669151', '1898669150', '1898669147', '1839230872', '1839230871', '1839230870', '1839230869', '1839230867', '1839230866', '1839230862', '1839230848']"
Burkholderiales bacterium,['1269612669'],['1269612669']
Burkholderia-Paraburkholderia,[],[]
Buttiauxella,"['2278607907', '1877246500', '1877246495', '1877246357', '1635510540', '1635510533', '1363983680', '806775913', '806775912', '4581972', '760864220', '760864219', '760864212', '760864211', '671695945', '671695944', '671695943', '671695942', '560878535', '560878531']","['2278607907', '1877246500', '1877246495', '1877246357', '1635510540', '1635510533', '1363983680', '806775913', '806775912', '4581972', '760864220', '760864219', '760864212', '760864211', '671695945', '671695944', '671695943', '671695942', '560878535', '560878531']"
Butyrivibrio,"['2318612871', '2318611223', '2278607909', '1328373712', '1328373648', '1328373627', '1328373610', '1328373571', '1328373552', '1328373375', '1328373356', '1328373349', '1328373347', '1328373334', '1328373299', '1328373275', '1328373256', '1328373214', '1328373171', '1328373142']","['2318612871', '2318611223', '2278607909', '1328373712', '1328373648', '1328373627', '1328373610', '1328373571', '1328373552', '1328373375', '1328373356', '1328373349', '1328373347', '1328373334', '1328373299', '1328373275', '1328373256', '1328373214', '1328373171', '1328373142']"
